tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
386585	Escherichia coli O157:H7 str. Sakai	917712	0	live	aat	ECs0970	leucyl/phenylalanyl-tRNA--protein transferase				NC_002695.1	1057805	1058509	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	913657	0	live	aceE	ECs0118	pyruvate dehydrogenase subunit E1				NC_002695.1	127506	130169	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	913659	0	live	aceF	ECs0119	dihydrolipoamide acetyltransferase				NC_002695.1	130184	132076	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	914849	0	live	aceK	ECs4934	bifunctional isocitrate dehydrogenase kinase/phosphatase				NC_002695.1	5026997	5028733	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	917215	0	live	acpD	ECs2014	azoreductase				NC_002695.1	1998085	1998690	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	912360	0	live	acpP	ECs1472	acyl carrier protein				NC_002695.1	1510710	1510946	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	914898	0	live	acpS	ECs3429	4'-phosphopantetheinyl transferase				NC_002695.1	3421002	3421382	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914281	0	live	actP	ECs5049	acetate permease				NC_002695.1	5136401	5138050	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914631	0	live	adk	ECs0527	adenylate kinase				NC_002695.1	563070	563714	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	914537	0	live	adrA	ECs0435	diguanylate cyclase AdrA				NC_002695.1	463482	464597	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	914724	0	live	alaS	ECs3554	alanyl-tRNA synthetase				NC_002695.1	3543309	3545939	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	915121	0	live	alaT	ECs5559	tRNA				NC_002695.1	4833383	4833458	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	916004	0	live	alaU	ECs5527	tRNA				NC_002695.1	4161971	4162046	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	913988	0	live	alaV	ECs5368	tRNA				NC_002695.1	228831	228906	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	915621	0	live	alaW	ECs5490	tRNA				NC_002695.1	3244939	3245014	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	915623	0	live	alaX	ECs5489	tRNA				NC_002695.1	3244824	3244899	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914300	0	live	alr	ECs5035	alanine racemase				NC_002695.1	5118936	5120015	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	914045	0	live	ampC	ECs5131	beta-lactamase				NC_002695.1	5232091	5233224	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914589	0	live	ampG	ECs0487	muropeptide transporter				NC_002695.1	518123	519598	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	912430	0	live	anmK	ECs2349, ydhH	anhydro-N-acetylmuramic acid kinase				NC_002695.1	2318220	2319329	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	916909	0	live	ansA	ECs2474	asparaginase				NC_002695.1	2451163	2452179	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	916327	0	live	ansB	ECs3833	L-asparaginase II				NC_002695.1	3841276	3842322	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	913454	0	live	apaG	ECs0055	ApaG protein				NC_002695.1	56204	56581	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	913453	0	live	apaH	ECs0054	diadenosine tetraphosphatase				NC_002695.1	55349	56197	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914298	0	live	aphA	ECs5037	acid phosphatase/phosphotransferase				NC_002695.1	5122560	5123273	plus	0		
386585	Escherichia coli O157:H7 str. Sakai	913465	0	live	araD	ECs0065	L-ribulose-5-phosphate 4-epimerase				NC_002695.1	70786	71481	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	913724	0	live	araG	ECs2608	L-arabinose transporter ATP-binding protein				NC_002695.1	2584707	2586221	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914548	0	live	araJ	ECs0446	MFS transport protein AraJ				NC_002695.1	473281	474465	minus	0		
386585	Escherichia coli O157:H7 str. Sakai	914990	0	live	argC	ECs4887	N-acetyl-gamma-glutamyl-phosphate reductase				NC_002695.1	4961638	4962642	plus	0		
